#separator:tab
#html:false
〜にかかっては / 〜にかかったら / 〜にかかると / 〜かかれば	〜が扱うと、全く違う結果になる 〜の影響力が強く、一般的な見込みとは全く違う結果になることを表す。
文型１：〜に関わる	〜に影響する 「命」や「生死」など重要なものに影響すると言いたい時に使う。
文型２：〜に関わる	〜に関係がある
〜に限ったことではない	〜だけに言えることじゃない / 〜だけでなく、他にもある
〜にかこつけて	〜を表向きの理由にして / 〜を口実にして
〜にかたくない	容易に〜できる / 〜するのは簡単だ
〜にかまけて	〜に気をかけて あることに忙しかったり、夢中になりすぎて、他のことがおそろかになっていることを表す。
〜にして	〜で / 〜になって 強調表現で、程度に関して驚きやすごいという気持ちがある。
〜に忍びない	我慢できない / 耐えられない / 〜するのに心が痛む
〜に即して	〜とおりに / 〜に従って / 〜を基準に  前に来る語が基準となるということを表す。
〜に堪える	〜する価値がある
〜に堪えない	①我慢できないほど〜だ。 ②〜する価値がない
〜に足る	〜できる / 〜する価値がある
〜にとどまらず	〜だけでなく その事柄が狭い範囲だけでなく、もっと広い範囲を対象に影響していると言いたいときに使う。
〜に則って（〜にのっとって）	〜を基準に・・・ / 〜に従って・・・ ルールや社会的常識、習慣などを基準にして、・・・すると言いたいときに使う表現
〜にはあたらない	① 〜するほど価値や重みがない / 〜する必要がない ② 〜には該当しない
「〜には当たらない」と「〜には及ばない」の違い	「〜には当たらない」はそこまで価値がない、重みがないので〜する必要がないと述べる場合に使うので、単に「〜する必要がない」と述べる場合に使うと不自然に聞こえる場合がある。  例文  ⭕️ ちょっと転んだだけですから、ご心配には及びません。 ❌ ちょっと転んだだけですから、ご心配には当たりません。
〜には及ばない	①〜するほどではない / 〜する必要ない ②〜に勝てるレベルではない。
〜には無理がある	〜するのは困難である 達成が困難であること、現実的に実現できないことを述べる表現。
〜にひきかえ	～とは反対に  / ～に対して 「～にひきかえ」は主観的な気持ちが含まれる。
〜にもほどがある	〜にも限界がある  相手の行為が限度を超えていて、それを非難する際に使う。
〜にもまして	〜以上に / 〜もそうだが、それ以上に
〜に〜を重ねて	大変だけど〜を繰り返して
〜ねばならない	〜なければならない
〜の至り（いたり）	最高に〜だ。 程度が極めて高く、最高の状態に達していることを表す。
〜の極み	最高に〜だ。 程度が極限であることを表す。
〜のやら	〜のか / 〜のだろうか
〜はおろか	〜は当然として
〜ばそれまでだ	〜したら、全てが終わりだ 〜をしたら全てが無駄になると言いたい時に使う。
〜びる	〜のように感じる
〜べからず	〜してはいけない
〜べく	〜しようと思って / 〜ために 目的や強い意志があって〜すると言いたい時に使う。
〜ほどのことではない	"""大したことではないので、〜する必要はない"" 程度が低く重要でないことを表す。"
〜まじき	〜してはいけない 職業や立場を考えると、すべきではない行為や態度について、非難の気持ちを込めて言う時に使う。
〜までだ / 〜までのことだ	他に手段がないので〜するだけだ。
〜までもない / 〜までもなく〜	わざわざ〜する必要はない
「〜までもない」と「〜なくてもいい」の違い	「〜までもない」は「〜なくてもいい」と同様に「〜する必要がない」という意味ですが、不必要ということを述べるだけでなく、それよりも簡単な別の行為で用が足りるという意味を含んでいます。   では、例文をチェックしてみましょう。  ・簡単な計算だから、電卓を使うまでもない。 →この文は「簡単な問題だから、頭で計算した方が早い。電卓を使う必要がない。」という意味になります。  ・こんな傷、病院に行くまでもありません。 →この文は「傷は小さいから、絆創膏を貼っておけばいい。病院に行く必要がない。」という意味になります。  このように他の行為で用が足りる場合は、「〜までもない」を使います。  では、次の例文はどうでしょうか。  ・定期券を持っているので、毎回、切符を（ 買わなくてもよい / 買うまでもない ）  「切符を買わなくてもよい」が自然な文ではないでしょうか。こちらの文では定期券を持っている = 単に切符を買う必要がないということを表しているので、「買わなくてもよい」を使った方が自然な文になります。
〜まみれ	〜がたくさん付いている 表面に汚いものがたくさん付いていて、汚れている様子を表す。
〜めく	完全に〜とは言えないが、〜ように感じられる
〜もさることながら	〜は当然そうだが、その他にも・・・だ
～もそこそこに	〜も十分にしないで   「〜を十分にしない、適当に済ませる」という意味。 急いでいたり、疲れているなど、何かしら理由があって適当に済ませてしまうこと表す。
〜も同然だ	〜とほとんど同じだ 実際とは異なるが、ほとんど同じ状態である、様子であると言いたい時に使う。
〜ものを	〜すれば、そうならかなったのに
〜やいなや	〜するとすぐに
〜ゆえに	〜のために 硬い表現で文語的である。接続詞として文頭に使うこともできる。
〜よう / 〜ようによっては	①〜のやりかた ②〜する様子
〜ようが / 〜ようと	〜ても関係なく・・・だ。
〜ようにも〜ない	〜しようとしてもできない / 〜したいと思っても（理由があって）できない。
〜より	「〜から」と同じ意味 時間の開始点や場所の起点を表す。
〜わ〜わで	〜し、〜し   「良くないこと、悪いことが一度に起こって困った」という意味。 話し手の不快な気持ち、嫌な気持ちを強調して言う時に使う。
〜をおいて	〜以外にできない
〜を押して / 〜を押し切って	問題や抵抗があるけれども、それに負けず〜する   問題や抵抗があるけれども、目的を成し遂げるために、その問題や抵抗に逆らって物事を進めるという意味。
〜を顧みず / 〜も顧みず	〜を気にしないで / 〜をものともせず
〜を限りに	〜を最後として、（今まで続いていたこと、続けていたことをやめる）
〜を兼ねて	〜という目的と一緒に 「メインの目的があって、もう１つ別の目的を持たせて〜する」という意味を表す。
〜を皮切りに / 〜を皮切りとして	〜を始まりとして、次々に・・・する
〜を禁じ得ない	～という気持ちを抑えることができない
〜を境に	〜の前後で大きく変化することを表す。
〜をもって	〜で / 〜を最後として / 〜を基準に
〜をものともせず	〜に負けないで / 〜を恐れないで / 〜を気にしないで
〜を踏まえて	〜を前提として / 〜を考慮に入れて
〜を経て	〜を経験したあとで / （時間）がたったあとで / 〜を通って 時間、場所、手段などの経由を表す。
〜を余儀なくされる	残念ながら～するしかない。 / しかたなく～しなければならない   「本当は～したくないが、自分ではどうすることもできない事情があり～しなければならない」と言うときに使う。
〜をよそに	〜を心配しないで / 〜を恐れないで / 〜に関係なく
〜んがために	（目的を達成する）ために
〜んばかりに	ほとんど〜しそうに
